rounds,Dynamic Scanning,DBI_v1,DBI_v2,Dynamic ATI
2,243.82,166.36,137.22,142.34
3,359.58,186.48,151.6,156.24
4,476.4,204.68,164.56,167.68
5,593.54,218.96,175.8,177.26
6,708.0,232.08,186.46,187.62
7,824.48,245.0,196.8,196.8
8,938.42,251.6,199.34,199.86
9,1054.5,260.72,206.5,206.78
10,1174.72,268.44,212.54,212.54
11,1287.88,280.76,221.98,221.98
12,1398.32,286.08,225.3,225.3
13,1519.6,289.96,228.2,228.2
14,1635.58,298.24,234.7,234.72
15,1750.26,305.56,239.44,239.44
16,1870.54,309.08,243.6,243.6
17,1982.08,318.16,248.88,248.88
18,2097.12,321.88,249.74,249.74
19,2218.12,329.6,256.14,256.14
20,2332.36,336.48,261.1,261.1
21,2447.62,339.28,263.82,263.82
22,2562.48,345.4,268.6,268.6
23,2681.58,350.4,271.58,271.58
24,2796.0,354.88,274.06,274.06
