gamma,Scanning,BI_v1,BI_v2,ATI
0.05,512.0,234.93333333333334,187.8,187.83333333333334
0.1,512.0,372.8666666666667,304.43333333333334,310.43333333333334
0.15,512.0,484.3333333333333,402.6666666666667,423.73333333333335
0.2,512.0,565.6666666666666,475.73333333333335,463.2
0.25,512.0,637.8,543.0333333333333,496.43333333333334
0.3,512.0,704.8,608.5333333333333,518.9666666666667
0.35,512.0,757.8666666666667,656.0,530.9
0.4,512.0,807.8666666666667,708.7333333333333,541.3333333333334
0.45,512.0,841.8666666666667,746.2,545.3
0.5,512.0,881.0,788.1666666666666,552.6666666666666
0.55,512.0,905.4666666666667,817.8666666666667,554.0
0.6,512.0,936.8666666666667,857.8333333333334,549.8333333333334
0.65,512.0,958.0666666666667,882.9333333333333,549.0333333333333
0.7,512.0,977.4,910.1333333333333,546.3666666666667
0.75,512.0,989.8666666666667,934.7,545.1
0.8,512.0,1001.8666666666667,956.2,542.5666666666667
0.85,512.0,1011.8666666666667,975.3,542.2333333333333
0.9,512.0,1018.0666666666667,994.4333333333333,543.0333333333333
0.95,512.0,1021.8666666666667,1009.3666666666667,542.7333333333333
1.0,512.0,1023.0,1023.0,543.0
